Depth,Mean,SD,-SD,+SD
0.00,0.00,0.00,0.00,0.01
0.05,0.00,0.23,0.00,0.23
0.10,0.50,0.64,0.00,1.14
0.15,1.15,1.04,0.11,2.19
0.20,1.66,1.15,0.51,2.82
0.25,2.62,1.98,0.64,4.60
0.30,3.62,3.02,0.60,6.65
0.35,4.35,3.70,0.65,8.05
0.40,4.25,3.64,0.60,7.89
0.45,4.10,3.57,0.53,7.68
0.50,4.47,3.94,0.53,8.41
0.55,5.06,4.41,0.65,9.46
0.60,5.57,4.93,0.64,10.51
0.65,4.01,3.56,0.46,7.57
0.70,3.12,2.23,0.90,5.35
0.75,2.27,1.49,0.78,3.76
0.80,1.91,0.87,1.05,2.78
0.85,1.76,0.77,0.99,2.53
0.90,1.67,0.84,0.84,2.51
0.95,1.59,0.88,0.71,2.46
1.00,1.51,0.63,0.88,2.14
1.05,1.48,0.43,1.04,1.91
1.10,1.47,0.22,1.25,1.70
1.15,1.47,0.35,1.12,1.83
1.20,1.48,0.41,1.07,1.88
1.25,1.47,0.38,1.10,1.85
1.30,1.48,0.33,1.15,1.81
1.35,1.47,0.31,1.16,1.78
1.40,1.42,0.28,1.14,1.71
1.45,1.42,0.24,1.18,1.66
1.50,1.43,0.23,1.20,1.65
1.55,1.43,0.21,1.21,1.64
1.60,1.42,0.21,1.21,1.64
1.65,1.37,0.17,1.20,1.54
1.70,1.37,0.12,1.25,1.49
1.75,1.37,0.20,1.17,1.57
1.80,1.42,0.29,1.13,1.72
1.85,1.45,0.29,1.15,1.74
1.90,1.51,0.29,1.22,1.80
1.95,1.51,0.28,1.23,1.79
2.00,1.51,0.29,1.22,1.80
2.05,1.47,0.32,1.15,1.79
2.10,1.54,0.35,1.19,1.90
2.15,1.65,0.37,1.29,2.02
2.20,1.74,0.36,1.39,2.10
2.25,1.84,0.47,1.38,2.31
2.30,1.73,0.56,1.18,2.29
2.35,1.68,0.57,1.11,2.25
2.40,1.65,0.50,1.14,2.15
2.45,1.60,0.46,1.14,2.05
2.50,1.70,0.53,1.17,2.23
2.55,1.80,0.58,1.22,2.37
2.60,1.85,0.62,1.23,2.46
2.65,1.85,0.59,1.26,2.45
2.70,1.87,0.56,1.31,2.44
2.75,2.02,0.66,1.36,2.69
2.80,2.17,0.75,1.41,2.92
2.85,2.33,0.79,1.54,3.12
2.90,2.18,0.62,1.56,2.80
2.95,2.12,0.45,1.66,2.57
3.00,2.11,0.44,1.67,2.55
3.05,2.17,0.44,1.73,2.60
3.10,2.19,0.41,1.78,2.60
3.15,2.25,0.34,1.91,2.59
3.20,2.25,0.27,1.98,2.52
3.25,2.25,0.20,2.05,2.45
3.30,2.25,0.17,2.07,2.42
3.35,2.25,0.21,2.04,2.45
3.40,2.25,0.23,2.02,2.49
3.45,2.26,0.30,1.95,2.56
3.50,2.25,0.30,1.95,2.55
3.55,2.25,0.30,1.95,2.54
3.60,2.19,0.31,1.89,2.50
3.65,2.19,0.35,1.84,2.55
3.70,2.14,0.40,1.74,2.54
3.75,2.15,0.36,1.79,2.50
3.80,2.22,0.27,1.95,2.49
3.85,2.26,0.20,2.07,2.46
3.90,2.23,0.24,1.98,2.47
3.95,2.20,0.31,1.90,2.51
4.00,2.21,0.36,1.86,2.57
4.05,2.15,0.43,1.72,2.59
4.10,2.16,0.52,1.64,2.68
4.15,2.24,0.59,1.65,2.83
4.20,2.31,0.74,1.57,3.04
4.25,2.35,0.78,1.58,3.13
4.30,2.41,0.73,1.68,3.15
4.35,2.46,0.78,1.69,3.24
4.40,2.35,0.86,1.49,3.21
4.45,2.29,1.00,1.29,3.29
4.50,2.20,0.97,1.23,3.16
4.55,2.08,0.84,1.24,2.93
4.60,1.92,0.73,1.19,2.65
4.65,2.03,0.63,1.40,2.65
4.70,2.13,0.60,1.54,2.73
4.75,2.19,0.50,1.69,2.69
4.80,2.11,0.48,1.63,2.59
4.85,2.04,0.49,1.55,2.53
4.90,2.04,0.38,1.66,2.42
4.95,2.04,0.28,1.76,2.32
5.00,2.38,1.59,0.80,3.97
5.05,2.76,3.92,0.00,6.68
